"displayName","description","datatype","patientAttribute","priority","clinicalAttributeId","studyId"
"Age At Surgery","Age At Surgery","NUMBER","True","1","AGE_AT_SURGERY","luad_mskcc_2020"
"Cancer Type","Cancer Type","STRING","False","1","CANCER_TYPE","luad_mskcc_2020"
"Cancer Type Detailed","Cancer Type Detailed","STRING","False","1","CANCER_TYPE_DETAILED","luad_mskcc_2020"
"Clinical Nodal Status","Clinical Nodal Status","STRING","True","1","CN_STATUS","luad_mskcc_2020"
"CT Size","CT Size","NUMBER","True","1","CT_SIZE","luad_mskcc_2020"
"Diffusion lung capacity for carbon monoxide","Diffusion lung capacity for carbon monoxide","NUMBER","True","1","DLCO","luad_mskcc_2020"
"FEV1","FEV1","NUMBER","True","1","FEV1","luad_mskcc_2020"
"FGA Facets","FGA Facets","NUMBER","False","1","FGA_FACETS","luad_mskcc_2020"
"Fraction Genome Altered","Fraction Genome Altered","NUMBER","False","20","FRACTION_GENOME_ALTERED","luad_mskcc_2020"
"Mutation Count","Mutation Count","NUMBER","False","30","MUTATION_COUNT","luad_mskcc_2020"
"Oncotree Code","Oncotree Code","STRING","False","1","ONCOTREE_CODE","luad_mskcc_2020"
"Overall Survival (Months)","Overall survival in months since surgery.","NUMBER","True","1","OS_MONTHS","luad_mskcc_2020"
"Overall Survival Status","Overall patient survival status.","STRING","True","1","OS_STATUS","luad_mskcc_2020"
"Pathologic Stage","Pathologic Stage","STRING","False","1","PATHOLOGIC_STAGE","luad_mskcc_2020"
"Pathologic Nodal Status","Pathologic Nodal Status","STRING","False","1","PN_STATUS","luad_mskcc_2020"
"Predominant Histologic Subtype","Predominant Histologic Subtype","STRING","False","1","PREDOMINANT_HISTOLOGIC_SUBTYPE","luad_mskcc_2020"
"Relapse Free Status (Months)","Relapse Free Status (Months)","NUMBER","True","1","RFS_MONTHS","luad_mskcc_2020"
"Relapse Free Status","Relapse Free Status","STRING","True","1","RFS_STATUS","luad_mskcc_2020"
"Number of Samples Per Patient","Number of Samples Per Patient","STRING","True","1","SAMPLE_COUNT","luad_mskcc_2020"
"Sex","Sex","STRING","True","1","SEX","luad_mskcc_2020"
"Smoking History","Smoking History","STRING","True","1","SMOKING_HISTORY","luad_mskcc_2020"
"Person Cigarette Smoking History Pack Year Value","Person Cigarette Smoking History Pack Year Value","NUMBER","True","1","SMOKING_PACK_YEARS","luad_mskcc_2020"
"Subtype Group","Subtype Group","STRING","False","1","SUBTYPE_GROUP","luad_mskcc_2020"
"Standardized uptake values ","Standardized uptake values ","NUMBER","True","1","SUV","luad_mskcc_2020"
"Tumor Mutation Burden","Total number of mutations divided by the length of the total genomic target region captured (mutations/Mbs)","NUMBER","False","1","TMB","luad_mskcc_2020"
"TMB (nonsynonymous)","TMB (nonsynonymous)","NUMBER","False","1","TMB_NONSYNONYMOUS","luad_mskcc_2020"
