"displayName","description","datatype","patientAttribute","priority","clinicalAttributeId","studyId"
"Diagnosis Age","Age at which a condition or disease was first diagnosed.","NUMBER","True","0","AGE","luad_mskimpact_2021"
"Age at Which Sequencing was Reported (Years)","Age (in years) at which sequencing was reported","NUMBER","False","0","AGE_AT_SEQ_REPORTED_YEARS","luad_mskimpact_2021"
"Patient Current Age","Patient Current Age","NUMBER","True","1","AGE_CURRENT","luad_mskimpact_2021"
"Archer Panel","Archer Panel","STRING","False","0","ARCHER","luad_mskimpact_2021"
"Cancer Type","Cancer Type","STRING","False","1","CANCER_TYPE","luad_mskimpact_2021"
"Cancer Type Detailed","Cancer Type Detailed","STRING","False","1","CANCER_TYPE_DETAILED","luad_mskimpact_2021"
"CRDB_ADJ_TXT","Has the patient received adjuvant systemic therapy?","STRING","True","0","CRDB_ADJ_TXT","luad_mskimpact_2021"
"CRDB_BASIC_COMMENTS","The basic comments at enrollment for 12-245.","STRING","True","0","CRDB_BASIC_COMMENTS","luad_mskimpact_2021"
"CRDB_BRAINMET","Does the patient have brain metastases?","STRING","True","0","CRDB_BRAINMET","luad_mskimpact_2021"
"CRDB_CONSENT_DATE_DAYS","12-245 consent date.","NUMBER","True","0","CRDB_CONSENT_DATE_DAYS","luad_mskimpact_2021"
"CRDB_ECOG","What is the patient's ECOG status?","STRING","True","0","CRDB_ECOG","luad_mskimpact_2021"
"CRDB_NOSYSTXT","What is the number of prior systemic therapies (Inclusion of endocrine, cytotoxic, biologic therapies)?","STRING","True","0","CRDB_NOSYSTXT","luad_mskimpact_2021"
"CRDB_OFF_STUDY_DAYS","The patient's 12-245 off study date.","STRING","True","0","CRDB_OFF_STUDY_DAYS","luad_mskimpact_2021"
"CRDB_PRIOR_RX","Has the patient received prior radiotherapy?","STRING","True","0","CRDB_PRIOR_RX","luad_mskimpact_2021"
"CRDB_SURVEY_COMMENTS","The survey comments at enrollment for 12-245.","STRING","False","0","CRDB_SURVEY_COMMENTS","luad_mskimpact_2021"
"CRDB_SURVIVAL_STATUS","The patient's survival status.","STRING","True","0","CRDB_SURVIVAL_STATUS","luad_mskimpact_2021"
"CRDB_TREATMENT_END_DAYS","The patient's 12-245 treatment end date.","NUMBER","True","0","CRDB_TREATMENT_END_DAYS","luad_mskimpact_2021"
"Date added to cBioPortal","Date added to cBioPortal","STRING","False","0","DATE_ADDED","luad_mskimpact_2021"
"Disease Free (Months)","Disease free (months) since initial treatment.","NUMBER","True","0","DFS_MONTHS","luad_mskimpact_2021"
"Disease Free Status","Disease free status since initial treatment.","STRING","True","0","DFS_STATUS","luad_mskimpact_2021"
"Ethnicity Category","The text for reporting information about ethnicity.","STRING","True","1","ETHNICITY","luad_mskimpact_2021"
"Fraction Genome Altered","Fraction Genome Altered","NUMBER","False","20","FRACTION_GENOME_ALTERED","luad_mskimpact_2021"
"Gene Panel","Gene panel.","STRING","False","1","GENE_PANEL","luad_mskimpact_2021"
"Neoplasm Histologic Type Name","Text term for the structural pattern of cancer cells used to define a microscopic diagnosis.","STRING","True","0","HISTOLOGICAL_DIAGNOSIS","luad_mskimpact_2021"
"Institute Source","Institute Source","STRING","False","1","INSTITUTE","luad_mskimpact_2021"
"Metastatic Site","The anatomic location to which the cancer has spread.","STRING","False","0","METASTATIC_SITE","luad_mskimpact_2021"
"MGMT Status","MGMT Status","STRING","False","0","MGMT_STATUS","luad_mskimpact_2021"
"Month added to cBioPortal","Month added to cBioPortal","STRING","False","0","MONTH_ADDED","luad_mskimpact_2021"
"MSI Comment","MSI Comment","STRING","False","0","MSI_COMMENT","luad_mskimpact_2021"
"MSI Score","MSI Score","NUMBER","False","1","MSI_SCORE","luad_mskimpact_2021"
"MSI Type","MSI Type","STRING","False","1","MSI_TYPE","luad_mskimpact_2021"
"MSK Slide ID","MSK Slide ID","STRING","False","0","MSK_SLIDE_ID","luad_mskimpact_2021"
"Mutation Count","Mutation Count","NUMBER","False","30","MUTATION_COUNT","luad_mskimpact_2021"
"Oncotree Code","Oncotree Code","STRING","False","0","ONCOTREE_CODE","luad_mskimpact_2021"
"Overall Survival (Months)","Overall survival in months since date of sequencing. If patient died before sequencing overall survival in months is set to '0'. If patient is alive and last contact date is before date of sequencing, overall survival in months is set to 'NA'","NUMBER","True","1","OS_MONTHS","luad_mskimpact_2021"
"Overall Survival Months Reported by DMT","Overall Survival Months Reported by DMT","NUMBER","True","0","OS_MONTHS_DMT","luad_mskimpact_2021"
"Overall Survival Status","Overall patient survival status.","STRING","True","1","OS_STATUS","luad_mskimpact_2021"
"Overall Status Reported by DMT","Overall Status reported by DMT","STRING","True","0","OS_STATUS_DMT","luad_mskimpact_2021"
"Other Patient ID","Legacy DMP patient identifier (DMPnnnn)","STRING","True","0","OTHER_PATIENT_ID","luad_mskimpact_2021"
"12-245 Part A Consented","12-245 Part A Consented Status","STRING","True","0","PARTA_CONSENTED_12_245","luad_mskimpact_2021"
"12-245 Part C Consented","12-245 Part C Consented","STRING","True","1","PARTC_CONSENTED_12_245","luad_mskimpact_2021"
"MSK Pathology Slide Available","Indicates the existence of a MSK Pathology slide. ","STRING","False","0","PATH_SLIDE_EXISTS","luad_mskimpact_2021"
"Pediatric Case Indicator","Indication on whether this case is a pediatric patient or not","STRING","True","0","PED_IND","luad_mskimpact_2021"
"Primary Tumor Site","Text term to describe the organ sub-division in an individual with cancer.","STRING","False","0","PRIMARY_SITE","luad_mskimpact_2021"
"Race Category","The text for reporting information about race.","STRING","True","1","RACE","luad_mskimpact_2021"
"Religion","Religion","STRING","True","0","RELIGION","luad_mskimpact_2021"
"Sample Class","The sample classification (i.e., tumor, cellline, xenograph).","STRING","False","0","SAMPLE_CLASS","luad_mskimpact_2021"
"Number of Samples Per Patient","Number of Samples Per Patient","STRING","True","1","SAMPLE_COUNT","luad_mskimpact_2021"
"Sample coverage","Sample coverage","NUMBER","False","1","SAMPLE_COVERAGE","luad_mskimpact_2021"
"Sample Type","The type of sample (i.e., normal, primary, met, recurrence).","STRING","False","1","SAMPLE_TYPE","luad_mskimpact_2021"
"Sex","Sex","STRING","True","1","SEX","luad_mskimpact_2021"
"Sex Reported by DMT","Sex Reported by DMT","STRING","True","0","SEX_DMT","luad_mskimpact_2021"
"Somatic Status","Somatic Status","STRING","False","1","SOMATIC_STATUS","luad_mskimpact_2021"
"SO comments","Sign-out comments","STRING","False","0","SO_COMMENTS","luad_mskimpact_2021"
"TMB (nonsynonymous)","TMB (nonsynonymous)","NUMBER","False","1","TMB_NONSYNONYMOUS","luad_mskimpact_2021"
"Tumor Purity","Tumor Purity","NUMBER","False","1","TUMOR_PURITY","luad_mskimpact_2021"
"Week added to cBioPortal","Week added to cBioPortal","STRING","False","0","WEEK_ADDED","luad_mskimpact_2021"
"WHO Grade","WHO Grade","STRING","False","0","WHO_GRADE","luad_mskimpact_2021"
