"displayName","description","datatype","patientAttribute","priority","clinicalAttributeId","studyId"
"Age at Which Sequencing was Reported (Years)","Age (in years) at which sequencing was reported","NUMBER","False","1","AGE_AT_SEQ_REPORTED_YEARS","nsclc_ctdx_msk_2022"
"Patient Current Age","Patient Current Age","NUMBER","True","1","AGE_CURRENT","nsclc_ctdx_msk_2022"
"Age Greater than Median","Age Greater than Median","STRING","True","0","AGE_GT_MEDIAN","nsclc_ctdx_msk_2022"
"Cancer Type","Cancer Type","STRING","False","2","CANCER_TYPE","nsclc_ctdx_msk_2022"
"Cancer Type Detailed","Cancer Type Detailed","STRING","False","2","CANCER_TYPE_DETAILED","nsclc_ctdx_msk_2022"
"Ethnicity Category","The text for reporting information about ethnicity.","STRING","True","0","ETHNICITY","nsclc_ctdx_msk_2022"
"Extrapulmonary","Extrapulmonary","STRING","True","2","EXTRAPULMONARY","nsclc_ctdx_msk_2022"
"Fraction Genome Altered","Fraction Genome Altered","NUMBER","False","20","FRACTION_GENOME_ALTERED","nsclc_ctdx_msk_2022"
"Gene Panel","Gene panel.","STRING","False","2","GENE_PANEL","nsclc_ctdx_msk_2022"
"Histology","Histology","STRING","True","2","HISTOLOGY","nsclc_ctdx_msk_2022"
"Metabolic Tumor Volume","Metabolic Tumor Volume","NUMBER","True","2","METABOLIC_TUMOR_VOL","nsclc_ctdx_msk_2022"
"Metastatic Site","The anatomic location to which the cancer has spread.","STRING","False","1","METASTATIC_SITE","nsclc_ctdx_msk_2022"
"MSI Score","MSI Score","NUMBER","False","1","MSI_SCORE","nsclc_ctdx_msk_2022"
"MSI Type","MSI Type","STRING","False","1","MSI_TYPE","nsclc_ctdx_msk_2022"
"Mutation Count","Mutation Count","NUMBER","False","30","MUTATION_COUNT","nsclc_ctdx_msk_2022"
"Oncotree Code","Oncotree Code","STRING","False","2","ONCOTREE_CODE","nsclc_ctdx_msk_2022"
"Overall Survival (Months)","Overall survival in months since time from diagnosis of stage IV or recurrent NSCLC.","NUMBER","True","1","OS_MONTHS","nsclc_ctdx_msk_2022"
"Overall Survival Status","Overall patient survival status.","STRING","True","0","OS_STATUS","nsclc_ctdx_msk_2022"
"Patient Display Name","Patient Display Name","STRING","True","2","PATIENT_DISPLAY_NAME","nsclc_ctdx_msk_2022"
"Primary Tumor Site","Text term to describe the organ sub-division in an individual with cancer.","STRING","False","1","PRIMARY_SITE","nsclc_ctdx_msk_2022"
"Prior Treatment","Prior Treatment","STRING","True","2","PRIOR_TREATMENT","nsclc_ctdx_msk_2022"
"Race Category","The text for reporting information about race.","STRING","True","0","RACE","nsclc_ctdx_msk_2022"
"Sample Class","The sample classification (i.e., tumor, cellline, xenograph).","STRING","False","2","SAMPLE_CLASS","nsclc_ctdx_msk_2022"
"Number of Samples Per Patient","Number of Samples Per Patient","STRING","True","1","SAMPLE_COUNT","nsclc_ctdx_msk_2022"
"Sample Type","The type of sample (i.e., normal, primary, met, recurrence).","STRING","False","2","SAMPLE_TYPE","nsclc_ctdx_msk_2022"
"Sex","Sex","STRING","True","1","SEX","nsclc_ctdx_msk_2022"
"Site","Site","STRING","True","2","SITE","nsclc_ctdx_msk_2022"
"Smoking Status","Smoking Status","STRING","True","2","SMOKING_STATUS","nsclc_ctdx_msk_2022"
"Stage at Draw","Stage at Draw","STRING","True","2","STAGE_AT_DRAW","nsclc_ctdx_msk_2022"
"Successful ctDx Lung","Successful ctDx Lung","STRING","True","2","SUCCESSFUL_CTDX_LUNG","nsclc_ctdx_msk_2022"
"TMB (nonsynonymous)","TMB (nonsynonymous)","NUMBER","False","1","TMB_NONSYNONYMOUS","nsclc_ctdx_msk_2022"
"Tumor Purity","Tumor Purity","STRING","False","0","TUMOR_PURITY","nsclc_ctdx_msk_2022"
